edge,presence_count,top20_count,group,n_instances,presence_frequency,overall_top20_frequency,conditional_top20_frequency
lh_cuneus -- rh_precuneus,47,4.0,SZ,150,0.31333333333333335,0.02666666666666667,0.0851063829787234
lh_cuneus -- rh_rostralanteriorcingulate,2,0.0,SZ,150,0.013333333333333334,0.0,0.0
lh_cuneus -- rh_rostralmiddlefrontal,2,0.0,SZ,150,0.013333333333333334,0.0,0.0
lh_cuneus -- rh_superiorparietal,6,0.0,SZ,150,0.04,0.0,0.0
lh_cuneus -- rh_superiortemporal,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_cuneus -- rh_supramarginal,10,0.0,SZ,150,0.06666666666666667,0.0,0.0
lh_cuneus -- rh_temporalpole,31,1.0,SZ,150,0.20666666666666667,0.006666666666666667,0.03225806451612903
lh_entorhinal -- lh_frontalpole,11,0.0,SZ,150,0.07333333333333333,0.0,0.0
lh_entorhinal -- lh_fusiform,5,2.0,SZ,150,0.03333333333333333,0.013333333333333334,0.4
lh_entorhinal -- lh_inferiorparietal,18,2.0,SZ,150,0.12,0.013333333333333334,0.1111111111111111
lh_entorhinal -- lh_lateralorbitofrontal,10,2.0,SZ,150,0.06666666666666667,0.013333333333333334,0.2
lh_entorhinal -- lh_lingual,71,0.0,SZ,150,0.47333333333333333,0.0,0.0
lh_entorhinal -- lh_medialorbitofrontal,16,1.0,SZ,150,0.10666666666666667,0.006666666666666667,0.0625
lh_entorhinal -- lh_paracentral,3,0.0,SZ,150,0.02,0.0,0.0
lh_entorhinal -- lh_parahippocampal,8,0.0,SZ,150,0.05333333333333334,0.0,0.0
lh_entorhinal -- lh_parsopercularis,5,0.0,SZ,150,0.03333333333333333,0.0,0.0
lh_entorhinal -- lh_parsorbitalis,46,1.0,SZ,150,0.30666666666666664,0.006666666666666667,0.021739130434782608
lh_entorhinal -- lh_parstriangularis,3,1.0,SZ,150,0.02,0.006666666666666667,0.3333333333333333
lh_entorhinal -- lh_pericalcarine,3,1.0,SZ,150,0.02,0.006666666666666667,0.3333333333333333
lh_entorhinal -- lh_postcentral,5,1.0,SZ,150,0.03333333333333333,0.006666666666666667,0.2
lh_entorhinal -- lh_precuneus,67,10.0,SZ,150,0.44666666666666666,0.06666666666666667,0.14925373134328357
lh_entorhinal -- lh_superiorparietal,2,0.0,SZ,150,0.013333333333333334,0.0,0.0
lh_entorhinal -- lh_supramarginal,2,0.0,SZ,150,0.013333333333333334,0.0,0.0
lh_entorhinal -- lh_temporalpole,69,7.0,SZ,150,0.46,0.04666666666666667,0.10144927536231885
lh_entorhinal -- rh_cuneus,16,3.0,SZ,150,0.10666666666666667,0.02,0.1875
lh_entorhinal -- rh_entorhinal,109,12.0,SZ,150,0.7266666666666667,0.08,0.11009174311926606
