group,edge,topk_count,n_instances,selection_frequency,mean_importance_share,mean_rank,mean_original_weight
ALL_SZ,lh_caudalmiddlefrontal -- lh_parstriangularis,7,150,0.04666666666666667,0.0036773144422241506,157.57407407407408,0.9653583345589815
ALL_SZ,lh_caudalmiddlefrontal -- lh_pericalcarine,1,150,0.006666666666666667,0.0026333615259757407,223.56521739130434,0.9481136565623076
ALL_SZ,lh_caudalmiddlefrontal -- lh_postcentral,0,150,0.0,0.001973904136231567,345.5,-0.9323999404907226
ALL_SZ,lh_caudalmiddlefrontal -- lh_posteriorcingulate,3,150,0.02,0.0030720297849902165,189.82142857142858,0.9663183128549939
ALL_SZ,lh_caudalmiddlefrontal -- lh_precentral,0,150,0.0,0.0024252431958673233,248.48,-0.9626899671554565
ALL_SZ,lh_caudalmiddlefrontal -- lh_precuneus,0,150,0.0,0.0018655863705579752,462.4,0.5800768613815308
ALL_SZ,lh_caudalmiddlefrontal -- lh_rostralanteriorcingulate,0,150,0.0,0.0027087032030917143,219.31578947368422,0.9517773076107627
ALL_SZ,lh_caudalmiddlefrontal -- lh_rostralmiddlefrontal,1,150,0.006666666666666667,0.002763305379354096,200.0,-0.9404272976375762
ALL_SZ,lh_caudalmiddlefrontal -- lh_superiorfrontal,1,150,0.006666666666666667,0.0029935379996594196,177.94594594594594,-0.9676717954712946
ALL_SZ,lh_caudalmiddlefrontal -- lh_superiorparietal,1,150,0.006666666666666667,0.0021198341435469024,270.1333333333333,-0.9383253256479899
ALL_SZ,lh_caudalmiddlefrontal -- lh_superiortemporal,0,150,0.0,0.002246530563258092,240.85714285714286,-0.932777247258595
ALL_SZ,lh_caudalmiddlefrontal -- lh_supramarginal,1,150,0.006666666666666667,0.0029121867029984943,214.90243902439025,-0.9645859773566083
ALL_SZ,lh_caudalmiddlefrontal -- lh_temporalpole,0,150,0.0,0.002319088719951216,72.66666666666667,-0.909860630830129
ALL_SZ,lh_caudalmiddlefrontal -- lh_transversetemporal,3,150,0.02,0.008554844904200038,97.28571428571429,0.9688043764659336
ALL_SZ,lh_caudalmiddlefrontal -- rh_bankssts,3,150,0.02,0.00348773263784893,187.0,0.9666133703810446
ALL_SZ,lh_caudalmiddlefrontal -- rh_caudalanteriorcingulate,1,150,0.006666666666666667,0.0032126713516074487,179.16438356164383,0.9613971840845396
ALL_SZ,lh_caudalmiddlefrontal -- rh_caudalmiddlefrontal,6,150,0.04,0.003757836440738853,193.69736842105263,0.9721597315449464
ALL_SZ,lh_caudalmiddlefrontal -- rh_cuneus,0,150,0.0,0.0023090591094920387,226.57142857142858,-0.9259595274925233
ALL_SZ,lh_caudalmiddlefrontal -- rh_frontalpole,0,150,0.0,0.0019154159925650637,220.78571428571428,-0.9298103324004582
ALL_SZ,lh_caudalmiddlefrontal -- rh_fusiform,1,150,0.006666666666666667,0.002289294589749751,172.4,0.5591454982757569
ALL_SZ,lh_caudalmiddlefrontal -- rh_inferiorparietal,2,150,0.013333333333333334,0.0026744949310350532,211.33333333333334,-0.957106766877351
ALL_SZ,lh_caudalmiddlefrontal -- rh_inferiortemporal,5,150,0.03333333333333333,0.0033675309649657875,166.82222222222222,-0.9481553898917304
