group,roi,topk_count,n_instances,selection_frequency,mean_importance_share,mean_rank
TP,rh_postcentral,10,78,0.1282051282051282,0.014594030219874545,33.48717948717949
TP,rh_posteriorcingulate,5,78,0.0641025641025641,0.011401428286943552,42.69230769230769
TP,rh_precentral,10,78,0.1282051282051282,0.014261924333342923,34.06410256410256
TP,rh_precuneus,15,78,0.19230769230769232,0.014822498590014445,35.76923076923077
TP,rh_rostralanteriorcingulate,13,78,0.16666666666666666,0.015309354708033381,34.41025641025641
TP,rh_rostralmiddlefrontal,5,78,0.0641025641025641,0.013412888732982152,35.46153846153846
TP,rh_superiorfrontal,10,78,0.1282051282051282,0.014334191502045356,33.96153846153846
TP,rh_superiorparietal,18,78,0.23076923076923078,0.01714030211669447,30.923076923076923
TP,rh_superiortemporal,11,78,0.14102564102564102,0.013973043050533282,36.65384615384615
TP,rh_supramarginal,17,78,0.21794871794871795,0.016737795594734876,28.91025641025641
TP,rh_temporalpole,9,78,0.11538461538461539,0.013920503409609847,36.06410256410256
TP,rh_transversetemporal,28,78,0.358974358974359,0.020914860521937306,19.025641025641026
TN,lh_bankssts,32,279,0.11469534050179211,0.014433430374989857,33.505376344086024
TN,lh_caudalanteriorcingulate,44,279,0.15770609318996415,0.015148289553791836,31.85663082437276
TN,lh_caudalmiddlefrontal,38,279,0.13620071684587814,0.014713454453163945,35.27956989247312
TN,lh_cuneus,49,279,0.17562724014336917,0.014977311633304156,32.5663082437276
TN,lh_entorhinal,35,279,0.12544802867383512,0.014148241226999281,37.56989247311828
TN,lh_frontalpole,36,279,0.12903225806451613,0.014379745324225365,34.99641577060932
TN,lh_fusiform,112,279,0.4014336917562724,0.017963816927132163,24.089605734767026
TN,lh_inferiorparietal,26,279,0.0931899641577061,0.01398743146494944,37.33691756272401
TN,lh_inferiortemporal,46,279,0.16487455197132617,0.01507633423838595,35.2831541218638
TN,lh_insula,37,279,0.13261648745519714,0.014751830083432413,32.992831541218635
TN,lh_isthmuscingulate,29,279,0.1039426523297491,0.014080377510807967,36.91039426523297
TN,lh_lateraloccipital,29,279,0.1039426523297491,0.014120943000855004,37.8494623655914
TN,lh_lateralorbitofrontal,64,279,0.22939068100358423,0.015982531203080755,31.00716845878136
